id,Resource Acquisition:Substrate uptake:aromatic acid transport,Resource Acquisition:Substrate uptake:biopolymer transport,Resource Acquisition:Substrate uptake:carbohydrate transport,Resource Acquisition:Substrate uptake:carboxylate transport,Resource Acquisition:Substrate uptake:free amino acids transport,Resource Acquisition:Substrate uptake:ion transport,Resource Acquisition:Substrate uptake:lipid transport,Resource Acquisition:Substrate uptake:N compound transport,Resource Acquisition:Substrate uptake:nucleic acid component transport,Resource Acquisition:Substrate uptake:organophosphorus transport,Resource Acquisition:Substrate uptake:osmolyte transport,Resource Acquisition:Substrate uptake:other transport,Resource Acquisition:Substrate uptake:peptide transport,Resource Acquisition:Substrate uptake:S compound transport,Resource Acquisition:Substrate uptake:secondary metabolite transport,Resource Acquisition:Substrate uptake:vitamin transport,Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization,Resource Acquisition:Substrate degradation:simple compound degradation,Resource Acquisition:Substrate assimilation:C1 compounds,Resource Acquisition:Substrate assimilation:N compounds,Resource Acquisition:Substrate assimilation:S compounds,Resource Acquisition:Substrate assimilation:P compounds,Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation,Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration,Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration,Resource Use:Chemotrophy:chemolithoautotrophy,Resource Use:Phototrophy:photosystem,Resource Use:Phototrophy:pigments:core,Resource Use:Phototrophy:pigments:accessory,Stress Tolerance:General,Stress Tolerance:Specific:temperature:high,Stress Tolerance:Specific:temperature:low,Stress Tolerance:Specific:desiccation/osmotic/salt stress,Stress Tolerance:Specific:pH stress,Stress Tolerance:Specific:oxidative stress,Stress Tolerance:Specific:oxygen limitation,Stress Tolerance:Specific:envelope stress,growthrate,optimumT,rrncopies,guild_id,length
2522572099,0.15855519433158838,0.47566558299476513,4.122435052621298,0.9513311659895303,1.268441554652707,2.536883109305414,0.47566558299476513,0.9513311659895303,0.15855519433158838,0.47566558299476513,0.9513311659895303,0.0,0.31711038866317676,0.31711038866317676,0.15855519433158838,0.7927759716579419,2.6954383036370024,1,1,1,1,1,0,1,1,1,0,0,0,1.9026623319790605,1.268441554652707,0.9513311659895303,1.5855519433158838,1.4269967489842954,0.47566558299476513,0.15855519433158838,0.0,4.745072995,26.0116144,4,1,6306952
2522572100,0.2478393366629722,0.0,4.461108059933499,1.4870360199778332,4.213268723270527,3.717590049944583,0.2478393366629722,0.4956786733259444,0.9913573466518888,0.4956786733259444,0.2478393366629722,0.0,0.4956786733259444,0.2478393366629722,0.2478393366629722,0.9913573466518888,2.9740720399556664,1,1,1,0,0,1,1,0,0,0,0,0,1.7348753566408055,1.7348753566408055,0.9913573466518888,0.9913573466518888,1.239196683314861,0.4956786733259444,0.0,0.2478393366629722,0.863157878,30.69668101,6,2,4034872
2522572101,0.0,0.0,1.0515054403389332,0.9012903774333714,2.553656069394552,2.40344100648899,0.15021506290556189,0.4506451887166857,0.6008602516222475,0.30043012581112377,0.30043012581112377,0.0,0.15021506290556189,0.30043012581112377,0.30043012581112377,0.15021506290556189,1.9527958177723046,1,1,1,1,1,1,1,1,1,0,0,0,1.351935566150057,1.201720503244495,0.4506451887166857,0.7510753145278094,1.351935566150057,0.6008602516222475,0.30043012581112377,0.15021506290556189,2.302275785,31.54214146,7,3,6657122
2522572102,0.0,0.37992015598001927,1.1397604679400577,1.1397604679400577,0.9498003899500481,1.3297205459300674,0.18996007799000963,0.9498003899500481,0.18996007799000963,0.37992015598001927,0.18996007799000963,0.0,0.18996007799000963,0.0,0.0,0.18996007799000963,6.268682573670318,1,1,1,0,1,1,1,0,1,0,0,0,2.0895608578901057,1.3297205459300674,0.7598403119600385,0.9498003899500481,0.9498003899500481,0.5698802339700288,0.0,0.0,1.252806127,24.22336821,8,1,5264264
2522572103,0.0,0.5317056994774574,3.012998963705592,0.7089409326366098,1.4178818652732197,1.7723523315915246,0.7089409326366098,0.8861761657957623,0.5317056994774574,0.5317056994774574,0.3544704663183049,0.0,0.0,0.3544704663183049,0.3544704663183049,0.5317056994774574,5.848762694252031,1,1,1,1,1,1,1,0,0,0,0,1,1.949587564750677,1.4178818652732197,0.7089409326366098,1.2406466321140672,1.2406466321140672,0.7089409326366098,0.17723523315915246,0.17723523315915246,2.800550233,28.19801538,3,1,5642219
2522572104,0.13802995912656849,0.4140898773797055,3.312719019037644,1.5183295503922536,3.1746890599110755,2.2084793460250958,0.9662097138859795,0.9662097138859795,0.828179754759411,0.27605991825313697,0.27605991825313697,0.13802995912656849,0.5521198365062739,0.27605991825313697,0.27605991825313697,0.828179754759411,2.0704493868985274,1,1,1,1,0,1,1,1,1,0,0,0,1.5183295503922536,1.1042396730125479,0.4140898773797055,1.2422696321391165,1.2422696321391165,0.5521198365062739,0.13802995912656849,0.13802995912656849,1.943604954,26.7718647,10,1,7244804
2522572128,0.0,0.43024156486314663,1.4341385495438221,1.5775524044982043,1.29072469458944,1.7209662594525865,0.43024156486314663,0.8604831297262933,0.14341385495438222,0.43024156486314663,0.0,0.0,0.0,0.28682770990876444,0.0,0.7170692747719111,2.007793969361351,1,1,1,1,1,1,1,1,0,0,0,0,1.5775524044982043,1.1473108396350578,0.7170692747719111,0.8604831297262933,1.29072469458944,0.43024156486314663,0.14341385495438222,0.0,5.739441644,25.20970375,3,1,6972827
2522572149,0.0,0.0,3.8000733889173235,0.7125137604219981,1.4250275208439962,3.5625688021099906,0.47500917361466544,0.7125137604219981,0.23750458680733272,0.23750458680733272,0.0,0.0,0.23750458680733272,0.0,0.23750458680733272,0.9500183472293309,6.650128430605316,1,1,1,1,1,1,1,1,1,0,0,0,1.4250275208439962,1.662532107651329,0.9500183472293309,0.9500183472293309,1.662532107651329,0.47500917361466544,0.23750458680733272,0.23750458680733272,2.419308507,37.58178318,8,1,4210445
2522572150,0.0,0.0,4.6492511916030805,2.417610619633602,4.6492511916030805,3.5334309056183413,0.18597004766412323,0.37194009532824646,1.1158202859847393,0.37194009532824646,0.37194009532824646,0.18597004766412323,0.7438801906564929,0.5579101429923696,0.0,1.4877603813129858,2.9755207626259716,1,1,1,1,1,1,1,0,0,0,0,0,1.673730428977109,1.4877603813129858,1.1158202859847393,0.7438801906564929,1.3017903336488625,0.37194009532824646,0.37194009532824646,0.18597004766412323,0.65204543,31.2261719,20,3,5377210
2522572155,0.15060045909043948,0.0,1.6566050499948344,0.9036027545426369,0.45180137727131847,1.8072055090852739,0.45180137727131847,0.15060045909043948,0.30120091818087896,0.15060045909043948,0.0,0.0,0.0,0.15060045909043948,0.0,0.30120091818087896,4.216812854532305,1,1,1,0,1,1,1,0,0,0,0,1,1.5060045909043949,1.2048036727235159,0.7530022954521974,0.7530022954521974,0.7530022954521974,0.30120091818087896,0.0,0.15060045909043948,9.696124749,29.81890698,3,3,6640086
